Player Name, Player Salary in $ ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Hammons,1312611.00 ,24,22,0,163,8.4,0.472,0.238,0.476,5.4,20.9,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,1.9,-5.6,-0.1,17,42,0.405,5,10,0.5,12,32,0.38,0.46,9,20,0.45,8,28,36,4,1,13,10,21,48
Al Horford,27734405.00 ,30,68,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,0.137,1,2.1,3.1,2.8,379,801,0.473,86,242,0.355,293,559,0.52,0.53,108,135,0.8,95,369,464,337,52,87,116,138,952
Al Jefferson,9769821.00 ,32,66,1,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.3,235,471,0.499,0,1,0,235,470,0.5,0.5,65,85,0.765,75,203,278,57,19,16,33,125,535
Alan Williams,6000000.00 ,24,47,0,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-1.8,0.2,-1.7,0.1,138,267,0.517,0,1,0,138,266,0.52,0.52,70,112,0.625,94,198,292,23,27,32,37,125,346
Alex Len,4187599.00 ,23,77,34,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,1.2,1.7,3,0.091,-3,1.2,-1.8,0.1,230,463,0.497,3,12,0.25,227,451,0.5,0.5,150,208,0.721,156,354,510,44,37,98,102,242,613
Alexis Ajinca,4961798.00 ,28,39,15,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,89,178,0.5,0,4,0,89,174,0.51,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207
Andre Drummond,23775506.00 ,23,81,81,2409,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483,911,0.53,2,7,0.286,481,904,0.53,0.53,137,355,0.386,345,771,1116,89,124,89,152,237,1105
Andrew Bogut,2328652.00 ,32,27,21,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.7,0.055,-5.6,5.3,-0.3,0.3,38,81,0.469,0,1,0,38,80,0.48,0.47,3,11,0.273,56,162,218,49,13,25,43,86,79
Anthony Davis,23775506.00 ,23,75,75,2708,27.5,0.579,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.196,1.4,2.3,3.7,3.9,770,1527,0.504,40,134,0.299,730,1393,0.52,0.52,519,647,0.802,174,712,886,157,94,167,181,168,2099
Brook Lopez,22642350.00 ,28,75,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2,555,1172,0.474,134,387,0.346,421,785,0.54,0.53,295,364,0.81,121,282,403,176,38,124,184,192,1539
Channing Frye,7420912.00 ,33,74,15,1398,15.6,0.612,0.644,0.142,3,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,3.7,0.125,0.8,-1.5,-0.6,0.5,238,520,0.458,137,335,0.409,101,185,0.55,0.59,63,74,0.851,37,253,290,45,33,37,53,138,676
David West,2328652.00 ,36,68,0,854,16.6,0.571,0.032,0.222,6.4,18.8,13,24.1,2.4,4.4,22,17.9,0.9,1.7,2.6,0.148,-1.7,3.9,2.2,0.9,135,252,0.536,3,8,0.375,132,244,0.54,0.54,43,56,0.768,47,156,203,151,42,48,78,105,316
