Player Name, Player Salary in  ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Amir Johnson,11000000.00 ,29,80,77,1608,15,0.628,0.178,0.27,8.2,17,12.6,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.2,2.4,2.2,1.7,213,370,0.576,27,66,0.409,186,304,0.61,0.61,67,100,0.67,117,248,365,140,52,62,77,211,520
Andrew Nicholson,2844429.00 ,27,38,0,342,5.9,0.427,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,-0.5,0.4,-0.1,-0.019,-5.9,-0.5,-6.4,-0.4,43,111,0.387,5,27,0.185,38,84,0.45,0.41,9,14,0.643,15,46,61,10,16,6,17,55,100
Anthony Tolliver,3290000.00 ,31,65,9,1477,11.1,0.595,0.655,0.234,4,14.5,9.3,7.7,1.1,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,155,351,0.442,90,230,0.391,65,121,0.54,0.57,61,82,0.744,51,188,239,77,33,20,56,109,461
Blake Griffin,29512900.00 ,27,61,61,2076,22.7,0.569,0.116,0.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28,5.4,2.4,7.7,0.179,3.2,1.3,4.4,3.4,479,971,0.493,38,113,0.336,441,858,0.51,0.51,320,421,0.76,111,385,496,300,58,23,142,157,1316
Bobby Portis,1516320.00 ,21,64,13,1000,14.9,0.545,0.256,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.1,-0.3,183,375,0.488,32,96,0.333,151,279,0.54,0.53,39,59,0.661,75,221,296,35,16,11,37,94,437
Brandan Wright,5955760.00 ,29,28,5,447,18.5,0.628,0.007,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0,1.3,1.3,0.4,83,135,0.615,0,1,0,83,134,0.62,0.62,23,35,0.657,31,47,78,15,11,20,10,42,189
Chris McCullough,1471382.00 ,21,16,0,80,15.2,0.526,0.219,0.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,0.1,0.1,0.1,0.072,-2,-2.6,-4.6,-0.1,16,32,0.5,1,7,0.143,15,25,0.6,0.52,3,5,0.6,9,10,19,2,2,2,3,7,36
Cody Zeller,12584270.00 ,24,62,58,1725,16.7,0.604,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,3.4,2.2,5.6,0.157,-0.2,2.3,2.1,1.8,253,443,0.571,0,1,0,253,442,0.57,0.57,133,196,0.679,135,270,405,99,62,58,65,189,639
Dario Saric,2422560.00 ,22,81,36,2129,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,-1.2,2.2,1,0.023,-2,-0.2,-2.2,-0.1,381,927,0.411,106,341,0.311,275,586,0.47,0.47,172,220,0.782,112,401,513,182,57,30,183,162,1040
Darrell Arthur,7464912.00 ,28,41,7,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,95,215,0.442,53,117,0.453,42,98,0.43,0.57,19,22,0.864,25,87,112,42,19,21,36,76,262
Davis Bertans,1312611.00 ,24,67,6,808,12.9,0.609,0.739,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.5,1.7,0.8,103,234,0.44,69,173,0.399,34,61,0.56,0.59,28,34,0.824,22,77,99,46,20,28,32,75,303
Derrick Favors,12000000.00 ,25,50,39,1186,15.8,0.512,0.024,0.261,9.2,20.2,14.9,7.9,2,2.7,11.4,20.7,0.5,2.2,2.7,0.109,-2.4,2.3,-0.1,0.6,203,417,0.487,3,10,0.3,200,407,0.49,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476
Dirk Nowitzki,5000000.00 ,38,54,54,1424,17,0.529,0.308,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,0.6,1.9,2.5,0.084,-1.6,0.3,-1.3,0.2,296,678,0.437,79,209,0.378,217,469,0.46,0.5,98,112,0.875,23,330,353,82,30,38,51,113,769
Domantas Sabonis,2550000.00 ,20,81,66,1632,6.9,0.469,0.331,0.139,3,16.4,9.7,7.2,1.2,1.6,14,15.4,-1,1.8,0.7,0.022,-4.7,-0.1,-4.9,-1.2,192,481,0.399,51,159,0.321,141,322,0.44,0.45,44,67,0.657,45,242,287,82,39,32,83,200,479
Dorian Finney-Smith,1312611.00 ,23,81,35,1642,7.7,0.486,0.574,0.183,3.7,12.3,7.8,6,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,0.041,-2.8,1.3,-1.5,0.2,124,333,0.372,56,191,0.293,68,142,0.48,0.46,46,61,0.754,55,166,221,67,52,25,45,125,350
Dragan Bender,4468800.00 ,19,43,0,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.029,-4,-0.3,-4.3,-0.3,57,161,0.354,28,101,0.277,29,60,0.48,0.44,4,11,0.364,23,80,103,23,10,22,32,74,146
Draymond Green,16400000.00 ,26,76,76,2471,16.5,0.522,0.405,0.328,4.6,20.9,13.3,27.6,3,3.4,19.8,16.2,2.8,5.4,8.2,0.16,0.4,5,5.4,4.6,272,650,0.418,81,263,0.308,191,387,0.49,0.48,151,213,0.709,98,501,599,533,154,106,184,217,776
Ersan Ilyasova,6000000.00 ,29,82,52,2142,14.6,0.546,0.452,0.233,5.9,18.8,12.4,11,1.3,0.9,10.6,22.2,1.8,2.3,4.1,0.091,0.3,-0.8,-0.5,0.8,384,890,0.431,142,402,0.353,242,488,0.5,0.51,161,207,0.778,115,366,481,141,58,23,116,211,1071
