Player Name, Player Salary in  ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Gordon,5504420.00 ,21,80,72,2298,14.4,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.076,-0.2,-0.4,-0.7,0.8,393,865,0.454,77,267,0.288,316,598,0.53,0.5,156,217,0.719,116,289,405,150,64,40,89,172,1019
Al-Farouq Aminu,7319035.00 ,26,61,25,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,183,466,0.393,70,212,0.33,113,254,0.45,0.47,96,136,0.706,77,374,451,99,60,44,94,102,532
Andre Iguodala,14814815.00 ,33,76,0,1998,14.4,0.624,0.427,0.246,3,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,0.167,1.3,1.7,3,2.5,219,415,0.528,64,177,0.362,155,238,0.65,0.61,72,102,0.706,51,253,304,262,76,39,58,97,574
Andre Roberson,9259259.00 ,25,79,79,2376,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.1,2.1,0,1.2,215,463,0.464,45,184,0.245,170,279,0.61,0.51,47,111,0.423,98,304,402,79,94,79,51,204,522
Andrew Wiggins,7574322.00 ,21,82,82,3048,16.5,0.534,0.184,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29,3.3,0.9,4.2,0.066,0.2,-2.9,-2.7,-0.6,709,1570,0.452,103,289,0.356,606,1281,0.47,0.48,412,542,0.76,103,226,329,189,82,30,187,183,1933
Bojan Bogdanovic,10500000.00 ,27,81,54,2083,13.5,0.585,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12,22.4,2,0.9,2.9,0.067,-0.1,-2.8,-2.8,-0.4,376,845,0.445,144,392,0.367,232,453,0.51,0.53,217,243,0.893,37,240,277,111,34,7,130,146,1113
Brandon Ingram,5519400.00 ,19,79,40,2279,8.5,0.474,0.273,0.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,276,686,0.402,55,187,0.294,221,499,0.44,0.44,133,214,0.621,60,257,317,166,50,36,116,158,740
C.J. Miles,7936509.00 ,29,76,29,1776,13.7,0.592,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,2.7,1.4,4,0.109,1.5,-2.1,-0.5,0.7,281,647,0.434,169,409,0.413,112,238,0.47,0.57,84,93,0.903,30,199,229,48,46,25,40,151,815
Caris LeVert,1632480.00 ,22,57,26,1237,12.2,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.8,1,1.8,0.07,-0.7,-0.4,-1.1,0.3,171,380,0.45,59,184,0.321,112,196,0.57,0.53,67,93,0.72,23,165,188,110,49,8,59,91,468
Carmelo Anthony,26243760.00 ,32,74,74,2538,17.9,0.535,0.303,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,602,1389,0.433,151,421,0.359,451,968,0.47,0.49,304,365,0.833,62,374,436,213,60,34,153,198,1659
Chandler Parsons,23112004.00 ,28,34,34,675,7.6,0.436,0.419,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,-0.5,0.7,0.2,0.016,-3.6,-0.5,-4,-0.3,75,222,0.338,25,93,0.269,50,129,0.39,0.39,35,43,0.814,6,78,84,55,20,5,24,52,210
Corey Brewer,7579366.00 ,30,82,11,1281,9.1,0.491,0.339,0.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,0,1.2,1.2,0.045,-2.9,0.2,-2.7,-0.2,147,348,0.422,27,118,0.229,120,230,0.52,0.46,50,68,0.735,32,134,166,97,61,19,55,133,371
Danilo Gallinari,20559599.00 ,28,63,63,2134,17.4,0.622,0.432,0.516,2,14.7,8.4,9.1,0.9,0.5,8.1,19.9,6.2,0.7,6.9,0.154,2.9,-2.1,0.8,1.5,335,750,0.447,126,324,0.389,209,426,0.49,0.53,349,387,0.902,39,287,326,135,40,15,81,93,1145
Dante Cunningham,2300000.00 ,29,66,35,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7,10.7,1.4,1.6,3,0.088,-1.3,0.8,-0.5,0.6,174,359,0.485,71,181,0.392,103,178,0.58,0.58,16,27,0.593,56,221,277,36,39,28,28,100,435
DeMarre Carroll,14800000.00 ,30,72,72,1882,11.9,0.531,0.583,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,1.7,2.1,3.8,0.097,0.6,0.4,1,1.4,220,549,0.401,109,320,0.341,111,229,0.49,0.5,89,117,0.761,63,212,275,74,81,27,54,143,638
Derrick Jones,1312611.00 ,19,32,8,545,12,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-0.5,-0.5,-1.1,0.1,68,121,0.562,3,11,0.273,65,110,0.59,0.57,29,41,0.707,39,40,79,12,14,13,13,63,168
Doug McDermott,3294994.00 ,25,66,5,1508,10.7,0.554,0.416,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,1.6,1,2.6,0.083,-1.2,-2.3,-3.5,-0.6,222,497,0.447,77,207,0.372,145,290,0.5,0.52,71,84,0.845,20,159,179,58,13,5,38,79,592
Evan Turner,17131148.00 ,28,65,12,1658,11.4,0.491,0.214,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,0,1.2,1.2,0.035,-2.5,-0.1,-2.6,-0.3,235,552,0.426,31,118,0.263,204,434,0.47,0.45,85,103,0.825,36,211,247,205,53,24,100,121,586
