Player Name, Player Salary in  ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rodney McGruder,1312611.00 ,25,78,65,1966,9.1,0.506,0.478,0.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.072,-0.8,0.5,-0.4,0.8,190,460,0.413,73,220,0.332,117,240,0.49,0.49,44,71,0.62,95,162,257,124,45,18,56,140,497
Ron Baker,4328000.00 ,23,52,13,857,7.5,0.456,0.396,0.198,1.5,10.8,6.2,17.3,2,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5,82,217,0.378,23,86,0.267,59,131,0.45,0.43,28,43,0.651,12,86,98,107,34,8,56,74,215
Sean Kilpatrick,1524305.00 ,27,70,24,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.3,1.1,1.4,0.039,-1.2,-1.8,-3,-0.4,305,735,0.415,105,308,0.341,200,427,0.47,0.49,204,242,0.843,22,258,280,157,46,6,136,118,919
Tim Hardaway,16500000.00 ,24,79,30,2154,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,0.107,1.3,-1.5,-0.3,0.9,415,912,0.455,149,417,0.357,266,495,0.54,0.54,164,214,0.766,35,189,224,182,55,15,106,103,1143
Tomas Satoransky,3000000.00 ,25,57,3,719,8.5,0.48,0.253,0.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1,0.1,0.5,0.6,0.041,-2.9,-0.2,-3.1,-0.2,61,146,0.418,9,37,0.243,52,109,0.48,0.45,23,33,0.697,25,58,83,92,26,6,38,60,154
Tony Allen,2116955.00 ,35,71,66,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.7,1.3,274,595,0.461,15,54,0.278,259,541,0.48,0.47,80,130,0.615,166,225,391,98,115,29,100,178,643
Tony Snell,9821429.00 ,25,80,80,2336,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,2.1,1.3,3.4,0.071,0.2,-1.1,-0.8,0.7,246,541,0.455,144,355,0.406,102,186,0.55,0.59,47,58,0.81,22,226,248,96,54,14,55,125,683
Treveon Graham,1312611.00 ,23,27,1,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.4,0.108,-1.5,-1.3,-2.8,0,19,40,0.475,9,15,0.6,10,25,0.4,0.59,10,15,0.667,5,17,22,6,6,1,3,18,57
Troy Daniels,3408520.00 ,25,67,3,1183,10.4,0.531,0.717,0.109,2,7.9,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.3,-3.4,-3.1,-0.3,185,495,0.374,138,355,0.389,47,140,0.34,0.51,43,54,0.796,21,79,100,46,21,4,45,90,551
Victor Oladipo,21000000.00 ,24,67,67,2222,13.6,0.534,0.378,0.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,1.7,2.3,4,0.085,-0.4,-0.9,-1.3,0.4,412,932,0.442,127,352,0.361,285,580,0.49,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067
Wayne Ellington,6270000.00 ,29,62,13,1500,12.6,0.565,0.71,0.077,1.3,8.6,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,1.8,-1.9,-0.2,0.7,231,555,0.416,149,394,0.378,82,161,0.51,0.55,37,43,0.86,18,115,133,70,35,4,30,70,648
Wayne Selden,1312611.00 ,22,14,5,236,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,-0.1,0.2,0.1,0.017,-3.4,-1.6,-5,-0.2,25,58,0.431,7,28,0.25,18,30,0.6,0.49,14,22,0.636,1,15,16,13,6,1,12,18,71
Wesley Matthews,17884176.00 ,30,73,73,2495,11.9,0.533,0.566,0.211,0.8,11.8,6,13.6,1.6,0.6,9.9,19.4,1,2.1,3.1,0.06,0.2,-0.1,0.1,1.3,333,847,0.393,174,479,0.363,159,368,0.43,0.5,146,179,0.816,18,241,259,210,77,16,102,161,986
Will Barton,3533333.00 ,26,60,19,1705,15.5,0.547,0.353,0.285,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.093,1.3,-1,0.3,1,295,666,0.443,87,235,0.37,208,431,0.48,0.51,143,190,0.753,58,200,258,206,48,28,97,110,820
Zach LaVine,3202217.00 ,21,47,47,1749,14.6,0.576,0.437,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,2.5,0.4,3,0.082,2.1,-2.4,-0.3,0.8,326,710,0.459,120,310,0.387,206,400,0.52,0.54,117,140,0.836,18,141,159,139,41,10,85,104,889
